created_date,created_time,text,replies,retweets,favorites
10/16/17,12:49:00 AM,RT @mike_pence: .@EdWGillespie is fighting to grow the economy &amp; cut taxes! He _s fighting for a safer VA. And he _s is fighting for affordab  _,6502,5849,25588
10/15/17,1:46:00 PM,"...approvals of The Keystone XL &amp; Dakota Access pipelines. Also, look at the recent EPA cancelations &amp; our great new Supreme Court Justice!",28105,14891,77255
10/15/17,1:25:00 PM,"The Failing @nytimes, in a story by Peter Baker, should have mentioned the rapid terminations by me of TPP &amp; The Paris Accord &amp; the fast....",16341,12863,60591
10/14/17,11:22:00 PM,"RT @FoxNews: TONIGHT on ""Justice,"" @JudgeJeanine talks to special guests @EricTrump and @LaraLeaTrump - Tune in at 9p ET on Fox News Channe  _",6103,4504,24172
10/14/17,9:29:00 PM,RT @EricTrump: .@LaraLeaTrump and I look forward to being on @JudgeJeanine tonight at 9pm! @FoxNews #MakeAmericaGreatAgain _   _   _   _   _   _    https://t  _,6096,5840,33380
10/14/17,9:28:00 PM,RT @mike_pence: We are heading to Virginia. Looking forward to supporting my friend @EdWGillespie. He will make a great Governor for the Co  _,6195,7975,40910
10/14/17,9:27:00 PM,The Democrats in the Southwest part of Virginia have been abandoned by their Party. Republican Ed Gillespie will never let you down!,13987,16002,70948
10/14/17,11:27:00 AM,Very proud of my Executive Order which will allow greatly expanded access and far lower costs for HealthCare. Millions of people benefit!,48380,22821,118334
10/14/17,11:18:00 AM,"Health Insurance stocks, which have gone through the roof during the ObamaCare years, plunged yesterday after I ended their Dems windfall!",21025,18450,84286
10/14/17,11:08:00 AM,RT @RightlyNews: @realDonaldTrump @LouDobbs It is NOT a coincidence that the economy boomed immediately after the 2016 election.,2493,5116,21382
10/14/17,11:08:00 AM,RT @RightlyNews: @realDonaldTrump @LouDobbs Trust in the media is at the lowest level in all of U.S. history. The American people see throu  _,3701,6951,22148
10/14/17,1:31:00 AM,"Such a wonderful statement from the great @LouDobbs. ""We take up what may be the most accomplished presidency in modern American history.""",27248,16036,68343
10/14/17,1:17:00 AM,"ObamaCare is causing such grief and tragedy for so many. It is being dismantled but in the meantime, premiums &amp; deductibles are way up!",20860,12409,61333
10/14/17,1:10:00 AM,"Money pouring into Insurance Companies profits, under the guise of ObamaCare, is over. They have made a fortune. Dems must get smart and deal.",11936,15836,69004
10/14/17,1:02:00 AM,"Many people talking, with much agreement, on my Iran speech today. Participants in the deal are making lots of money on trade with Iran!",13206,11322,54400
10/14/17,12:53:00 AM,Starting to develop a much better relationship with Pakistan and its leaders. I want to thank them for their cooperation on many fronts.,8548,14110,69956
10/13/17,10:01:00 PM,#WeeklyAddress_   _    https://t.co/riqEiBNwk2,10361,10661,41463
10/13/17,6:09:00 PM,"Today, I announced our strategy to confront the Iranian regime _s hostile actions and to ensure that they never acquire a nuclear weapon. https://t.co/N4ISdjuEdC",24139,17628,66703
10/13/17,12:01:00 PM,"The wonderful people of Puerto Rico, with their unmatched spirit, know how bad things were before the H's. I will always be with them!",24130,11952,63444
10/13/17,11:51:00 AM,"Hard to believe that the Democrats, who have gone so far LEFT that they are no longer recognizable, are fighting so hard for Sanctuary crime",16911,22856,93243
10/13/17,11:14:00 AM,ObamaCare is a broken mess. Piece by piece we will now begin the process of giving America the great HealthCare it deserves!,27074,15484,76335
10/13/17,11:10:00 AM,"Sadly, they and others are Fake News, and the public is just beginning to figure it out! https://t.co/8B8AyA7V1s",13861,11886,51835
10/13/17,11:07:00 AM,RT @billoreilly: A free press is vital to protecting all Americans. A corrupt press damages the Republic.,10478,15600,58656
10/13/17,9:36:00 AM,The Democrats ObamaCare is imploding. Massive subsidy payments to their pet insurance companies has stopped. Dems should call me to fix!,26233,14210,64278
10/13/17,1:18:00 AM,"It is time to take care of OUR COUNTRY, to rebuild OUR COMMUNITIES, and to protect our GREAT AMERICAN WORKERS! #TaxReform https://t.co/FEjGjT4xp9",19420,16519,68860
10/13/17,12:12:00 AM,People are just now starting to find out how dishonest and disgusting (FakeNews) @NBCNews is. Viewers beware. May be worse than even @CNN!,34440,22417,87876
10/12/17,6:17:00 PM,"We need a tax system that is FAIR to working FAMILIES &amp; that encourages companies to STAY in AMERICA, GROW in AMERICA, and HIRE in AMERICA! https://t.co/DdI1yWi7YZ",15778,15634,68400
10/12/17,12:45:00 PM,The Fake News Is going all out in order to demean and denigrate! Such hatred!,44247,16952,80822
10/12/17,11:07:00 AM,"...We cannot keep FEMA, the Military &amp; the First Responders, who have been amazing (under the most difficult circumstances) in P.R. forever!",52820,13444,65091
10/12/17,10:58:00 AM,...accountability say the Governor. Electric and all infrastructure was disaster before hurricanes. Congress to decide how much to spend....,9002,10187,51045
10/12/17,10:49:00 AM,"""Puerto Rico survived the Hurricanes, now a financial crisis looms largely of their own making."" says Sharyl Attkisson. A total lack of.....",12861,10212,47512
10/12/17,10:04:00 AM,Clips from tax speech and @seanhannity on @foxandfriends now. Have a great day!,8298,6746,37811
10/12/17,12:55:00 AM,RT @realDonaldTrump: I will be interviewed tonight on @FoxNews by @SeanHannity at 9pmE. Enjoy!,27758,10413,58004
10/12/17,12:40:00 AM,"In even the darkest moments, the light of our people has shown through their goodness, their courage and their love. #USA_   _    https://t.co/8JK8aM2a1L",11589,13542,60870
10/12/17,12:09:00 AM,"Network news has become so partisan, distorted and fake that licenses must be challenged and, if appropriate, revoked. Not fair to public!",50870,20353,88093
10/11/17,11:56:00 PM,Joining @SeanHannity tonight at 9pmE on @FoxNews. Enjoy! https://t.co/RCfiJus5Rw,6575,5622,31815
10/11/17,11:28:00 PM,"We need a tax system that is FAIR to working families &amp; that encourages companies to STAY in America, GROW in America, and HIRE in America_   _    https://t.co/u9ZgijgLE3",11035,12300,56722
10/11/17,9:32:00 PM,I will be interviewed tonight on @FoxNews by @SeanHannity at 9pmE. Enjoy!,27759,10413,58004
10/11/17,7:49:00 PM,Happy to announce we are awarding $1M to Las Vegas - in order to help local law enforcement working OT to respond to last Sunday _s tragedy.,19964,19148,114355
10/11/17,1:55:00 PM,"With all of the Fake News coming out of NBC and the Networks, at what point is it appropriate to challenge their License? Bad for country!",77190,23298,99370
10/11/17,1:45:00 PM,"Fake @NBCNews made up a story that I wanted a ""tenfold"" increase in our U.S. nuclear arsenal. Pure fiction, made up to demean. NBC = CNN!",18906,18969,73958
10/11/17,10:47:00 AM,It is about time that Roger Goodell of the NFL is finally demanding that all players STAND for our great National Anthem-RESPECT OUR COUNTRY,40299,20499,105608
10/11/17,10:36:00 AM,"The Democrats want MASSIVE tax increases &amp; soft, crime producing borders.The Republicans want the biggest tax cut in history &amp; the WALL!",19442,19443,84611
10/11/17,10:31:00 AM,It would be really nice if the Fake News Media would report the virtually unprecedented Stock Market growth since the election.Need tax cuts,17388,15439,74552
10/11/17,10:26:00 AM,"...if Congress gives us the massive tax cuts (and reform) I am asking for, those numbers will grow by leaps and bounds. #MAGA",6866,11229,55068
10/11/17,10:21:00 AM,"Stock Market has increased by 5.2 Trillion dollars since the election on November 8th, a 25% increase. Lowest unemployment in 16 years and..",12834,18235,79705
10/11/17,1:21:00 AM,"...fired. This story is totally made up by the dishonest media.The Chief is doing a FANTASTIC job for me and, more importantly, for the USA!",16187,15958,77492
10/11/17,1:15:00 AM,"The Fake News is at it again, this time trying to hurt one of the finest people I know, General John Kelly, by saying he will soon be.....",11270,16081,69783
10/10/17,1:34:00 PM,RT @IsraelUSAforevr: @realDonaldTrump  https://t.co/dBvwKDdesD,6391,7490,31647
10/10/17,12:50:00 PM,"The Failing @nytimes set Liddle' Bob Corker up by recording his conversation. Was made to sound a fool, and that's what I am dealing with!",40709,14673,62551
10/10/17,12:13:00 PM,"Highly respected author, Christopher Bedford, just came out with book, ""The Art of the Donald, Lessons from America's...."" Really good book!",21864,11428,58500
10/10/17,10:42:00 AM,"With Jemele Hill at the mike, it is no wonder ESPN ratings have ""tanked,"" in fact, tanked so badly it is the talk of the industry!",44649,20231,95951
10/10/17,10:30:00 AM,"Since Congress can't get its act together on HealthCare, I will be using the power of the pen to give great HealthCare to many people - FAST",25910,22632,99982
10/10/17,10:18:00 AM,"The problem with agreeing to a policy on immigration is that the Democrats don't want secure borders,they don't care about safety for U.S.A.",21637,22304,87047
10/10/17,10:13:00 AM,"Why is the NFL getting massive tax breaks while at the same time disrespecting our Anthem, Flag and Country? Change tax law!",39532,32567,138851
10/10/17,2:31:00 AM,RT @IvankaTrump: .@realDonaldTrump stock market rally is close to becoming the greatest in 85 years https://t.co/5WlZa82Mij,11762,16695,63092
10/10/17,1:51:00 AM,"A big salute to Jerry Jones, owner of the Dallas Cowboys, who will BENCH players who disrespect our Flag.""Stand for Anthem or sit for game!""",35802,34587,166509
10/09/17,6:35:00 PM,"""President Donald J. Trump Proclaims October 9, 2017, as #ColumbusDay"" https://t.co/cbQRst4lN4",23165,16515,69317
10/09/17,11:05:00 AM,The trip by @VP Pence was long planned. He is receiving great praise for leaving game after the players showed such disrespect for country!,49104,20801,109476
10/09/17,10:50:00 AM,"Our country has been unsuccessfully dealing with North Korea for 25 years, giving billions of dollars &amp; getting nothing. Policy didn't work!",23247,21498,107806
10/08/17,11:58:00 PM,"""The Republican Party is racking up record amounts of small dollar donations - fueled by Trump supporters.....""   @nypost  Thank you!",15783,14665,75766
10/08/17,11:37:00 PM,Nobody could have done what I _ve done for #PuertoRico with so little appreciation. So much work! https://t.co/k2jAkIpfjI,64771,19906,78185
10/08/17,8:51:00 PM,"Bob Corker gave us the Iran Deal, &amp; that's about it. We need HealthCare, we need Tax Cuts/Reform, we need people that can get the job done!",27171,18441,80824
10/08/17,7:51:00 PM,RT @opinionsamerica: @realDonaldTrump Strong administration leads to a strong response.,3710,4467,23304
10/08/17,7:49:00 PM,FEMA and first responders are working hard (yet again) on Hurricane Nate. Military helping. Very much under control!,8049,11663,66408
10/08/17,6:16:00 PM,"I asked @VP Pence to leave stadium if any players kneeled, disrespecting our country. I am proud of him and @SecondLady Karen.",59616,28155,135293
10/08/17,2:13:00 PM,"...Hence, I would fully expect Corker to be a negative voice and stand in the way of our great agenda. Didn't have the guts to run!",23638,13732,66537
10/08/17,2:09:00 PM,"..my endorsement). He also wanted to be Secretary of State, I said ""NO THANKS."" He is also largely responsible for the horrendous Iran Deal!",11273,12852,61152
10/08/17,1:59:00 PM,"Senator Bob Corker ""begged"" me to endorse him for re-election in Tennessee. I said ""NO"" and he dropped out (said he could not win without...",25771,15209,69544
10/08/17,12:41:00 PM,RT @realDonaldTrump: More and more people are suggesting that Republicans (and me) should be given Equal Time on T.V. when you look at the  _,50714,18282,94130
10/07/17,9:41:00 PM,Leaving the White House for the Great State of North Carolina. Big progress being made on many fronts!,17081,12197,76114
10/07/17,8:33:00 PM,Thanks for your support! https://t.co/iqUM1RfQso,9957,12532,60293
10/07/17,7:45:00 PM,"...hasn't worked, agreements violated before the ink was dry, makings fools of U.S. negotiators. Sorry, but only one thing will work!",33881,17807,76095
10/07/17,7:40:00 PM,"Presidents and their administrations have been talking to North Korea for 25 years, agreements made and massive amounts of money paid......",10016,17912,72999
10/07/17,7:31:00 PM,Will be joining @GovMikeHuckabee tonight at 8pmE on @TBN. Enjoy! https://t.co/Y5hGPpYZfl,5819,7617,35936
10/07/17,2:04:00 PM,"Our great team at @FEMA is prepared for #HurricaneNate. Everyone in LA, MS, AL, and FL please listen to your local authorities &amp; be safe!",9838,14143,66510
