"","date_amazon","date","id","price_offline","price_online","price_amazon","sale_online","product_online","product_amazon","merchant","url","imputed","comments","pricetype","datediff","cat_id","category","retailer_id","retailer_s"
"1529","18-Dec-14","13-Dec-14","13562000616",3.29,3.29,23.94,0,"Annie's Homegrown White Cheddar Macaroni & Cheese 2 ...","Annie's Homegrown Shells & White Cheddar Macaroni & Cheese, 6-Ounce Boxes (Pack of 12)","Ships from and sold by Amazon.com in easy-to-open packaging .          Gift-wrap available.","http://www.amazon.com/Annies-Homegrown-Cheddar-Macaroni-6-Ounce/dp/B000CQ01GU/ref=sr_1_1/191-1569823-8736714?ie=UTF8&qid=1418962298&sr=8-1&keywords=Annie%27s+Homegrown+White+Cheddar+Macaroni",NA,"","",5,9999,"Mix",53,"USA_53"
"1530","22-Feb-15","22-Feb-15","34878719108",11.99,11.99,8.12,0,"34878719108","RoomMates RMK2361SCS Frozen Peel and Stick Wall Decals, 36 Count","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/RoomMates-RMK2361SCS-Frozen-Stick-Decals/dp/B00FMQILBC/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1424666049&sr=8-1&keywords=034878719108",NA,"","",0,9999,"Mix",53,"USA_53"
"1531","20-Jan-15","13-Jan-15","7.47E+11",79.99,29.99,13.99,0,"Fisher-PriceŒ¬ Classic Infant Trio Gift Set","Fisher-Price Baby's First Blocks and Rock Stack Bundle","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Fisher-Price-Babys-First-Blocks-Bundle/dp/B00E1AEERK/ref=sr_1_1?ie=UTF8&qid=1421814898&sr=8-1&keywords=Fisher-Price%C2%AE+Classic+Infant+Trio+Gift+Set",NA,"","",7,9999,"Mix",53,"USA_53"
"1532","6-Jun-16","5-Jun-16","56160095",99,99,99,0,"Circle with Disney - White""","Circle with Disney","Ships from and sold by Amazon.com.","http://www.amazon.com/Circle-CIRC001-with-Disney/dp/B019RC1EI8?ie=UTF8&keywords=Circle%20with%20Disney%20-%20White%26%2334%3B&m=ATVPDKIKX0DER&qid=1465271288&ref_=sr_1_1&sr=8-1",NA,"","Regular Price",1,9999,"Mix",53,"USA_53"
"1533","2-Feb-15","27-Jan-15","32917000521",3.99,3.99,21.54,0,"Traditional Medicinals Organic Peppermint Herbal Tea...","Traditional Medicinals Organic, Peppermint, 16-Count (Pack of 6)","Ships from and sold by Amazon.com in easy-to-open packaging. Gift-wrap available.","http://www.amazon.com/Traditional-Medicinals-Organic-Peppermint-16-Count/dp/B0009F3PJ4/ref=sr_1_1?ie=UTF8&qid=1422855541&sr=8-1&keywords=Traditional+Medicinals+Organic+Peppermint+Herbal+Tea...",NA,"","",6,9999,"Mix",53,"USA_53"
"1534","20-Jan-16","14-Jan-16","64080695",2.99,2.99,14.46,0,"Super Soft Vinyl Shower Liner - Clear","Carnation Home Fashions 72-Inch Wide by 84-Inch Long Vinyl Shower Curtain Liner, Super Clear","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Carnation-Home-Fashions-72-Inch-84-Inch/dp/B002XQ2LBU/ref=sr_1_1?ie=UTF8&qid=1453351050&sr=8-1&keywords=Super+Soft+Vinyl+Shower+Liner+-+Clear",NA,"","Regular Price",6,9999,"Mix",53,"USA_53"
"1535","7-Jun-16","3-Jun-16","72080126",25.99,29.99,29.99,0,"Mr. CoffeeŒ¬ Advanced Brew 5-Cup Programmable Coffee ...""","Mr. Coffee JWX9 5-Cup Programmable Coffeemaker, Black with Stainless Steel Carafe","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Mr-Coffee-JWX9-Programmable-Coffeemaker/dp/B003QLT04M?ie=UTF8&keywords=Mr.%20Coffee%C2%AE%20Advanced%20Brew%205-Cup%20Programmable%20Coffee%20...%26%2334%3B&m=ATVPDKIKX0DER&qid=1465272197&ref_=sr_1_1&sr=8-1",NA,"","Regular Price",4,9999,"Mix",53,"USA_53"
"1536","30-May-16","24-May-16","9060717",19.99,19.99,19.99,0,"WeberŒ¬ Hinged Grate 22.5""""","Weber 7436 Replacement Hinged Cooking Grate","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/Weber-7436-Replacement-Hinged-Cooking/dp/B000WEPHKW/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464580840&sr=8-1&keywords=Weber%C2%AE+Hinged+Grate+22.5%22%22",NA,"","Regular Price",6,9999,"Mix",53,"USA_53"
"1537","30-May-16","24-May-16","84160682",4.99,4.99,14.81,0,"EcoSMART Organic Wasp & Hornet Killer 14oz Aerosol""","EcoSMART 33104 Organic Flying Insect Killer, 14-Ounce","Ships from and sold by Amazon.com. Gift-wrap available.","http://www.amazon.com/EcoSMART-33104-Organic-Flying-14-Ounce/dp/B001B6AF48/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1464665552&sr=8-1&keywords=EcoSMART+Organic+Wasp",NA,"","Regular Price",6,9999,"Mix",53,"USA_53"
"1538","13-Feb-15","7-Feb-15","47406128419",199.99,199.99,179.98,0,"Graco Ready2Grow Click Connect Double Stroller -...","Graco Ready2Grow Click Connect LX Stroller, Glacier","Ships from and sold by Amazon.com in easy-to-open packaging.","http://www.amazon.com/Graco-Ready2Grow-Connect-Stroller-Glacier/dp/B00BR0ON5K/ref=sr_1_1?ie=UTF8&qid=1423806698&sr=8-1&keywords=Graco+Ready2Grow+Click+Connect+Double+Stroller+-...",1,"","",6,9999,"Mix",53,"USA_53"
